Summary,Issue Type,Priority,Labels,Story Points,Epic Name,Description
"[HAIAMM] Governance Function Implementation",Epic,High,"haiamm,governance,ai-security",,"","Implement HAIAMM Governance function practices (SM, PC, EG) to establish AI security strategy, policies, and education."
"[HAIAMM] Building Function Implementation",Epic,High,"haiamm,building,ai-security",,"","Implement HAIAMM Building function practices (TA, SR, SA) to establish secure AI development processes."
"[HAIAMM] Verification Function Implementation",Epic,High,"haiamm,verification,ai-security",,"","Implement HAIAMM Verification function practices (DR, IR, ST) to establish AI security review and testing processes."
"[HAIAMM] Operations Function Implementation",Epic,High,"haiamm,operations,ai-security",,"","Implement HAIAMM Operations function practices (IM, EH, ML) to establish secure AI operations and incident response."
"[SM] Strategy & Metrics - Level 1",Story,High,"haiamm,governance,sm,level-1",8,"[HAIAMM] Governance Function Implementation","Establish AI system inventory, identify top risks, establish basic metrics, identify stakeholders."
"[PC] Policy & Compliance - Level 1",Story,High,"haiamm,governance,pc,level-1",8,"[HAIAMM] Governance Function Implementation","Create acceptable use policy, map regulatory requirements, define incident reporting, establish third-party AI policy."
"[EG] Education & Guidance - Level 1",Story,Medium,"haiamm,governance,eg,level-1",5,"[HAIAMM] Governance Function Implementation","Create awareness materials, identify training audiences, build resource library, establish communication channel."
"[TA] Threat Assessment - Level 1",Story,High,"haiamm,building,ta,level-1",8,"[HAIAMM] Building Function Implementation","Identify AI threats, map threats to systems, profile threat actors, create basic threat model."
"[SR] Security Requirements - Level 1",Story,High,"haiamm,building,sr,level-1",8,"[HAIAMM] Building Function Implementation","Define input requirements, output requirements, access requirements, and data requirements."
"[SA] Secure Architecture - Level 1",Story,High,"haiamm,building,sa,level-1",13,"[HAIAMM] Building Function Implementation","Document architecture, identify trust boundaries, apply least privilege, implement environment separation."
"[DR] Design Review - Level 1",Story,Medium,"haiamm,verification,dr,level-1",5,"[HAIAMM] Verification Function Implementation","Define review process, create review checklist, establish documentation requirements, implement review tracking."
"[IR] Implementation Review - Level 1",Story,High,"haiamm,verification,ir,level-1",8,"[HAIAMM] Verification Function Implementation","Integrate security into code review, define review triggers, create issues checklist, establish review documentation."
"[ST] Security Testing - Level 1",Story,High,"haiamm,verification,st,level-1",13,"[HAIAMM] Verification Function Implementation","Perform manual security testing, document test cases, evaluate testing tools, establish results tracking."
"[IM] Issue Management - Level 1",Story,Medium,"haiamm,operations,im,level-1",5,"[HAIAMM] Operations Function Implementation","Configure issue tracking, define severity levels, document remediation process, establish review cadence."
"[EH] Environment Hardening - Level 1",Story,High,"haiamm,operations,eh,level-1",13,"[HAIAMM] Operations Function Implementation","Apply basic hardening, implement input validation, implement output controls, configure access controls."
"[ML] Monitoring & Logging - Level 1",Story,High,"haiamm,operations,ml,level-1",8,"[HAIAMM] Operations Function Implementation","Enable interaction logging, secure log storage, document baseline patterns, configure basic alerting."
